City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
132,Hadejia,NG,2023-03-14 15:45:17,12.4498,10.0444,95.41,5,2,6.49
133,San Cristobal,VE,2023-03-14 15:44:31,7.7669,-72.225,73.58,40,82,8.84
134,Bandarbeyla,SO,2023-03-14 15:45:18,9.4942,50.8122,79.03,74,28,11.79
135,Fairbanks,US,2023-03-14 15:43:49,64.8378,-147.7164,-11.24,70,0,6.91
136,Luena,AO,2023-03-14 15:45:19,-11.7833,19.9167,66.04,92,99,0.83
137,Kharp,RU,2023-03-14 15:45:20,66.8014,65.8081,23.56,83,97,17.56
138,Toktogul,KG,2023-03-14 15:45:20,41.8708,72.9402,37.71,72,13,3.98
139,Biltine,TD,2023-03-14 15:45:21,14.5333,20.9167,93.85,8,11,9.04
140,Russell,US,2023-03-14 15:45:07,32.3502,-85.1999,45.97,45,0,8.05
141,Faya,SA,2023-03-14 15:45:21,18.3851,42.4509,60.91,69,61,6.24
142,Kazerun,IR,2023-03-14 15:45:22,29.6195,51.6541,65.26,60,57,3.78
143,Upernavik,GL,2023-03-14 15:45:23,72.7868,-56.1549,0.86,89,99,2.98
144,Saldanha,ZA,2023-03-14 15:45:23,-33.0117,17.9442,84.25,87,36,18.75
145,Severo-Kurilsk,RU,2023-03-14 15:45:23,50.6789,156.125,30.76,94,81,16.87
146,Tiarei,PF,2023-03-14 15:45:24,-17.5333,-149.3333,77.02,70,80,2.06
147,San Carlos De Bariloche,AR,2023-03-14 15:45:24,-41.1456,-71.3082,62.35,42,75,25.32
148,Samandag,TR,2023-03-14 15:45:25,36.0842,35.9771,61.32,85,100,1.43
149,Jumla,NP,2023-03-14 15:45:25,29.2747,82.1838,40.39,85,40,4.72
150,Lasa,IT,2023-03-14 15:45:26,46.6166,10.7002,49.08,95,95,5.7
151,Gat,IL,2023-03-14 15:45:26,31.61,34.7642,58.41,100,100,7.27
152,Constitucion,CL,2023-03-14 15:45:27,-35.3333,-72.4167,67.69,53,0,10.94
153,Vila Franca Do Campo,PT,2023-03-14 15:45:27,37.7167,-25.4333,63.01,88,100,21.68
154,Roros,NO,2023-03-14 15:45:27,62.5747,11.3842,26.44,74,75,9.22
155,Barkhan,PK,2023-03-14 15:45:28,29.8977,69.5256,72.1,18,75,6.62
156,Saint-Louis,SN,2023-03-14 15:45:28,16.3333,-15.0,107.24,5,0,6.13
157,Saskylakh,RU,2023-03-14 15:45:29,71.9167,114.0833,-18.33,98,99,7.87
158,Nanyang,CN,2023-03-14 15:45:29,32.9947,112.5328,58.37,44,0,3.11
159,Palmer,US,2023-03-14 15:45:30,42.1584,-72.3287,38.86,84,100,13.8
160,Busselton,AU,2023-03-14 15:45:31,-33.65,115.3333,63.18,85,41,2.53
161,Andenes,NO,2023-03-14 15:45:32,69.3143,16.1194,30.18,47,20,17.27
162,Talnakh,RU,2023-03-14 15:45:32,69.4865,88.3972,22.21,93,100,20.42
163,Tarko-Sale,RU,2023-03-14 15:45:32,64.9225,77.785,29.57,95,100,16.17
164,Vanimo,PG,2023-03-14 15:45:33,-2.6741,141.3028,75.96,86,99,2.21
165,Prince Rupert,CA,2023-03-14 15:45:19,54.3161,-130.3201,35.29,86,100,21.85
166,Klaksvik,FO,2023-03-14 15:45:33,62.2266,-6.589,31.12,93,99,41.54
167,Buchanan,LR,2023-03-14 15:45:34,5.8808,-10.0467,84.85,68,47,8.57
168,Dongsheng,CN,2023-03-14 15:45:35,39.8161,109.9776,22.33,21,54,12.84
169,Iqaluit,CA,2023-03-14 15:45:35,63.7506,-68.5145,-4.27,84,40,2.3
170,Harer,ET,2023-03-14 15:45:36,9.3094,42.1258,67.17,60,93,2.17
171,Yulara,AU,2023-03-14 15:45:36,-25.2406,130.9889,78.58,19,0,8.23
172,Yellowknife,CA,2023-03-14 15:45:37,62.456,-114.3525,-6.45,77,20,11.5
173,Axim,GH,2023-03-14 15:45:37,4.8699,-2.2405,85.28,67,37,11.05
174,Ballina,AU,2023-03-14 15:45:37,-28.8667,153.5667,71.78,99,80,4.63
175,Los Llanos De Aridane,ES,2023-03-14 15:45:38,28.6585,-17.9182,67.75,73,0,12.66
176,Gornyy,RU,2023-03-14 15:45:38,55.1153,83.9059,10.69,96,5,3.33
177,Annau,TM,2023-03-14 15:45:39,37.8876,58.516,71.1,37,100,9.22
